table,panel,column,row,type,mine,pub,diff_val,mine_se,pub_se,diff_se,matched,note
5,,1,Log GDP per capita_t-1,coef,0.23300254416730504,0.233,2.5441673050241587e-6,0.01273251572771502,0.013,2.674842722849794e-4,TRUE,NA
5,,1,Observations,count,900,900,0,NA,NA,NA,TRUE,NA
5,,1,Countries,count,134,134,0,NA,NA,NA,TRUE,NA
5,,2,Log GDP per capita_t-1,coef,0.04357601139175002,0.044,4.239886082499783e-4,0.05065640481055017,0.051,3.43595189449826e-4,TRUE,NA
5,,2,Observations,count,900,900,0,NA,NA,NA,TRUE,NA
5,,2,Countries,count,134,134,0,NA,NA,NA,TRUE,NA
5,,3,Democracy_t-1,coef,0.3588908730134489,0.359,1.09126986551078e-4,0.05394614104111905,0.054,5.3858958880950714e-5,TRUE,NA
5,,3,Log GDP per capita_t-1,coef,0.00877062148559669,0.009,2.293785144033087e-4,0.0377988323146007,0.038,2.011676853993019e-4,TRUE,NA
5,,3,Observations,count,891,891,0,NA,NA,NA,TRUE,NA
5,,3,Countries,count,134,134,0,NA,NA,NA,TRUE,NA
5,,4,Log GDP per capita_t-1,coef,-0.03478061054792664,-0.035,2.1938945207336524e-4,0.0942678489557612,0.094,2.678489557611935e-4,TRUE,NA
5,,4,First stage: Savings rate_t-2,coef,1.3564257168187397,1.356,4.2571681873959655e-4,0.2769177512527385,0.277,8.224874726153741e-5,TRUE,NA
5,,4,Observations,count,900,900,0,NA,NA,NA,TRUE,NA
5,,4,Countries,count,134,134,0,NA,NA,NA,TRUE,NA
5,,4,First-stage R-squared,r2,0.9612673096261016,0.96,0.0012673096261016648,NA,NA,NA,TRUE,NA
5,,5,Democracy_t-1,coef,0.3629103887718806,0.363,8.96112281194017e-5,0.05633092213894717,0.056,3.309221389471706e-4,TRUE,NA
5,,5,Log GDP per capita_t-1,coef,-0.02049279024370912,-0.02,4.927902437091188e-4,0.08136381707054688,0.081,3.638170705468763e-4,TRUE,NA
5,,5,First stage: Democracy_t-1,coef,0.1437520354959653,0.144,2.479645040346923e-4,0.06590436638411457,0.066,9.563361588543762e-5,TRUE,NA
5,,5,First stage: Savings rate_t-2,coef,1.342512428634941,1.343,4.875713650589475e-4,0.2702372362417391,0.27,2.3723624173910274e-4,TRUE,NA
5,,5,Observations,count,891,891,0,NA,NA,NA,TRUE,NA
5,,5,Countries,count,134,134,0,NA,NA,NA,TRUE,NA
5,,5,First-stage R-squared,r2,0.9623404003707292,0.96,0.0023404003707292453,NA,NA,NA,TRUE,NA
5,,6,Democracy_t-1,coef,0.4271947461854235,0.427,1.9474618542353328e-4,0.10043370280623697,0.1,4.337028062369602e-4,TRUE,NA
5,,6,Log GDP per capita_t-1,coef,-0.22835162160689815,-0.228,3.5162160689813926e-4,0.10201071181578188,0.102,1.0711815781883072e-5,TRUE,NA
5,,6,Observations,count,764,764,0,NA,NA,NA,TRUE,NA
5,,6,Countries,count,124,124,0,NA,NA,NA,TRUE,NA
5,,7,Log GDP per capita_t-1,coef,-0.03572753001901663,-0.036,2.7246998098336833e-4,0.19095356764954263,0.191,4.6432350457370486e-5,TRUE,NA
5,,7,Labor share_t-1,coef,0.2504530402511104,0.25,4.530402511104259e-4,0.19879559638170743,0.199,2.044036182925757e-4,TRUE,NA
5,,7,First stage: Labor share_t-1,coef,0.32925019036972963,0.329,2.501903697296193e-4,0.1866191817587691,0.187,3.8081824123090136e-4,TRUE,NA
5,,7,First stage: Savings rate_t-2,coef,1.2023520486673758,1.202,3.5204866737581497e-4,0.315298687067307,0.315,2.98687067307013e-4,TRUE,NA
5,,7,Observations,count,471,471,0,NA,NA,NA,TRUE,NA
5,,7,Countries,count,98,98,0,NA,NA,NA,TRUE,NA
5,,7,First-stage R-squared,r2,0.9803040701811164,0.98,3.040701811164448e-4,NA,NA,NA,TRUE,NA
5,,8,Democracy_t-1,ftest_p,2.0452254142921114e-7,0,2.0452254142921114e-7,NA,NA,NA,TRUE,NA
5,,8,Log GDP per capita_t-1,coef,-0.07413438984043036,-0.074,1.3438984043036284e-4,0.11315711577331514,0.113,1.571157733151335e-4,TRUE,NA
5,,8,First stage: Democracy_t-1,ftest_p,0.2436749180855354,0.24,0.0036749180855354113,NA,NA,NA,TRUE,NA
5,,8,First stage: Savings rate_t-2,coef,1.172878564970315,1.173,1.2143502968497977e-4,0.2539769789837441,0.254,2.3021016255897475e-5,TRUE,NA
5,,8,Observations,count,733,733,0,NA,NA,NA,TRUE,NA
5,,8,Countries,count,124,124,0,NA,NA,NA,TRUE,NA
5,,8,First-stage R-squared,r2,0.9717099117703948,0.97,0.001709911770394812,NA,NA,NA,TRUE,NA
5,,9,Log GDP per capita_t-1,coef,0.01564592249191421,0.016,3.5407750808578997e-4,0.09506419712826002,0.095,6.419712826001567e-5,TRUE,NA
5,,9,First stage: Savings rate_t-2,coef,1.0219813095518475,1.022,1.869044815250298e-5,0.21849838166200525,0.218,4.983816620052484e-4,TRUE,NA
5,,9,First stage: Savings rate_t-3,coef,0.7201709091471054,0.72,1.709091471053803e-4,0.18221106823542832,0.182,2.1106823542832442e-4,TRUE,NA
5,,9,Observations,count,796,796,0,NA,NA,NA,TRUE,NA
5,,9,Countries,count,125,125,0,NA,NA,NA,TRUE,NA
5,,9,First-stage R-squared,r2,0.9675727491368528,0.97,0.0024272508631472123,NA,NA,NA,TRUE,NA
