table,panel,column,row,type,mine,pub,diff_val,mine_se,pub_se,diff_se,matched,note
2,,1,Democracy_t-1,coef,0.7063698230483884,0.706,3.6982304838839575e-4,0.03545226347023366,0.035,4.522634702336589e-4,TRUE,NA
2,,1,Log GDP per capita_t-1,coef,0.07231846377515674,0.072,3.184637751567493e-4,0.00992328542330229,0.01,7.671457669771072e-5,TRUE,NA
2,,1,Observations,count,945,945,0,NA,NA,NA,TRUE,NA
2,,1,Countries,count,150,150,0,NA,NA,NA,TRUE,NA
2,,1,R-squared,r2,0.7251494918124586,0.73,0.0048505081875414024,NA,NA,NA,TRUE,NA
2,,2,Democracy_t-1,coef,0.3786283660080064,0.379,3.716339919935807e-4,0.05093129450981121,0.051,6.870549018878763e-5,TRUE,NA
2,,2,Log GDP per capita_t-1,coef,0.01041497399655057,0.01,4.1497399655057027e-4,0.03454819807726334,0.035,4.5180192273666653e-4,TRUE,NA
2,,2,Observations,count,945,945,0,NA,NA,NA,TRUE,NA
2,,2,Countries,count,150,150,0,NA,NA,NA,TRUE,NA
2,,2,R-squared,r2,0.7958972680469534,0.8,0.004102731953046668,NA,NA,NA,TRUE,NA
2,,3,Democracy_t-1,coef,0.4686592975601575,0.469,3.407024398424663e-4,0.09952934710982446,0.1,4.7065289017554635e-4,TRUE,NA
2,,3,Log GDP per capita_t-1,coef,-0.10357926859239493,-0.104,4.2073140760506833e-4,0.10741790584878476,0.107,4.179058487847609e-4,TRUE,NA
2,,3,Observations,count,838,838,0,NA,NA,NA,TRUE,NA
2,,3,Countries,count,127,127,0,NA,NA,NA,TRUE,NA
2,,4,Democracy_t-1,coef,0.48882861391324006,0.489,1.7138608675992817e-4,0.08504660085412875,0.085,4.6600854128747704e-5,TRUE,NA
2,,4,Log GDP per capita_t-1,coef,-0.1291143441007352,-0.129,1.1434410073518642e-4,0.07585984673292612,0.076,1.4015326707388087e-4,TRUE,NA
2,,4,Observations,count,838,838,0,NA,NA,NA,TRUE,NA
2,,4,Countries,count,127,127,0,NA,NA,NA,TRUE,NA
2,,5,Log GDP per capita_t-1,coef,0.05358776981544613,0.054,4.122301845538717e-4,0.04621942069253546,0.046,2.1942069253545748e-4,TRUE,NA
2,,5,Observations,count,958,958,0,NA,NA,NA,TRUE,NA
2,,5,Countries,count,150,150,0,NA,NA,NA,TRUE,NA
2,,5,R-squared,r2,0.7611485276049909,0.76,0.0011485276049908455,NA,NA,NA,TRUE,NA
2,,6,Democracy_t-1,ftest_p,1.2783588551720265e-83,0,1.2783588551720265e-83,NA,NA,NA,TRUE,NA
2,,6,Log GDP per capita_t-1,ftest_p,0.32884285209916,0.33,0.0011571479008400387,NA,NA,NA,TRUE,NA
2,,6,Observations,count,2895,2895,0,NA,NA,NA,TRUE,NA
2,,6,Countries,count,148,148,0,NA,NA,NA,TRUE,NA
2,,6,R-squared,r2,0.9307605240161124,0.93,7.605240161123739e-4,NA,NA,NA,TRUE,NA
2,,7,Democracy_t-1,coef,-0.02493827261959466,-0.025,6.172738040534018e-5,0.08801242941793623,0.088,1.2429417936235532e-5,TRUE,NA
2,,7,Log GDP per capita_t-1,coef,0.05345374687516724,0.053,4.5374687516724216e-4,0.06644566715011681,0.066,4.456671501168047e-4,TRUE,NA
2,,7,Observations,count,457,457,0,NA,NA,NA,TRUE,NA
2,,7,Countries,count,127,127,0,NA,NA,NA,TRUE,NA
2,,7,R-squared,r2,0.7666557551798954,0.77,0.003344244820104647,NA,NA,NA,TRUE,NA
2,,8,Democracy_t-1,coef,0.22645410729659876,0.226,4.541072965987547e-4,0.12271280244239482,0.123,2.871975576051733e-4,TRUE,NA
2,,8,Log GDP per capita_t-1,coef,-0.3180413457074014,-0.318,4.1345707401385656e-5,0.1795106394653741,0.18,4.893605346258934e-4,TRUE,NA
2,,8,Observations,count,338,338,0,NA,NA,NA,TRUE,NA
2,,8,Countries,count,118,118,0,NA,NA,NA,TRUE,NA
2,,9,Democracy_t-1,coef,-0.5814857059228097,-0.581,4.8570592280972047e-4,0.19828785333433216,0.198,2.878533343321499e-4,TRUE,NA
2,,9,Log GDP per capita_t-1,coef,-0.03012067630074599,-0.03,1.2067630074599073e-4,0.15621249689311162,0.156,2.124968931116189e-4,TRUE,NA
2,,9,Observations,count,192,192,0,NA,NA,NA,TRUE,NA
2,,9,Countries,count,118,118,0,NA,NA,NA,TRUE,NA
2,,9,R-squared,r2,0.8945532024649898,0.89,0.004553202464989803,NA,NA,NA,TRUE,NA
