table,panel,column,row,type,mine,pub,diff_val,mine_se,pub_se,diff_se,matched,note
6,,1,Log GDP per capita_t-1,coef,0.2328473326023046,0.233,1.526673976953996e-4,0.01279999316116085,0.013,2.0000683883915002e-4,TRUE,NA
6,,1,Observations,count,906,906,0,NA,NA,NA,TRUE,NA
6,,1,Countries,count,124,124,0,NA,NA,NA,TRUE,NA
6,,2,Log GDP per capita_t-1,coef,0.0384084364824673,0.038,4.0843648246730035e-4,0.04518227883039434,0.045,1.8227883039434456e-4,TRUE,NA
6,,2,Observations,count,906,906,0,NA,NA,NA,TRUE,NA
6,,2,Countries,count,124,124,0,NA,NA,NA,TRUE,NA
6,,3,Democracy_t-1,coef,0.3756554635197948,0.376,3.445364802052153e-4,0.05095370369635687,0.051,4.629630364312576e-5,TRUE,NA
6,,3,Log GDP per capita_t-1,coef,9.619942343291088e-4,0.001,3.800576567089119e-5,0.03405960336215978,0.034,5.960336215977968e-5,TRUE,NA
6,,3,Observations,count,895,895,0,NA,NA,NA,TRUE,NA
6,,3,Countries,count,124,124,0,NA,NA,NA,TRUE,NA
6,,4,Log GDP per capita_t-1,coef,-0.21298725188681877,-0.213,1.2748113181221266e-5,0.15020846380318936,0.15,2.084638031893682e-4,TRUE,NA
6,,4,First stage: Trade-weighted log GDP_t-1,coef,0.4023767773628407,0.402,3.7677736284069674e-4,0.08280711723522706,0.083,1.9288276477294475e-4,TRUE,NA
6,,4,Observations,count,906,906,0,NA,NA,NA,TRUE,NA
6,,4,Countries,count,124,124,0,NA,NA,NA,TRUE,NA
6,,4,First-stage R-squared,r2,0.9543097818897464,0.95,0.0043097818897464,NA,NA,NA,TRUE,NA
6,,5,Democracy_t-1,coef,0.3931384896612049,0.393,1.3848966120488804e-4,0.05735003347806576,0.057,3.500334780657602e-4,TRUE,NA
6,,5,Log GDP per capita_t-1,coef,-0.11964452571510552,-0.12,3.554742848944775e-4,0.105374369759437,0.105,3.743697594369988e-4,TRUE,NA
6,,5,First stage: Democracy_t-1,coef,0.1691140845897506,0.169,1.1408458975059599e-4,0.0627319579020513,0.063,2.680420979487008e-4,TRUE,NA
6,,5,First stage: Trade-weighted log GDP_t-1,coef,0.4208517845734298,0.421,1.4821542657017517e-4,0.08171336663221701,0.082,2.86633367782993e-4,TRUE,NA
6,,5,Observations,count,895,895,0,NA,NA,NA,TRUE,NA
6,,5,Countries,count,124,124,0,NA,NA,NA,TRUE,NA
6,,5,First-stage R-squared,r2,0.9553723339852376,0.96,0.004627666014762388,NA,NA,NA,TRUE,NA
6,,6,Democracy_t-1,coef,0.4780678547267438,0.478,6.78547267438101e-5,0.0941273062765432,0.094,1.273062765431987e-4,TRUE,NA
6,,6,Log GDP per capita_t-1,coef,-0.13313698979667254,-0.133,1.3698979667253752e-4,0.07720295975555728,0.077,2.0295975555728596e-4,TRUE,NA
6,,6,Observations,count,812,812,0,NA,NA,NA,TRUE,NA
6,,6,Countries,count,122,122,0,NA,NA,NA,TRUE,NA
6,,7,Log GDP per capita_t-1,coef,-0.20190383372812057,-0.202,9.616627187944427e-5,0.1300067801475783,0.13,6.780147578294704e-6,TRUE,NA
6,,7,Trade-weighted democracy_t,coef,-0.13732384435715164,-0.137,3.238443571516314e-4,0.6346438886442346,0.635,3.561113557654094e-4,TRUE,NA
6,,7,First stage: Trade-weighted democracy,coef,-1.1947836274029051,-1.195,2.1637259709494927e-4,0.9588841324513716,0.959,1.1586754862835669e-4,TRUE,NA
6,,7,First stage: Trade-weighted log GDP_t-1,coef,0.4411784043673925,0.441,1.7840436739247068e-4,0.07018545484606645,0.07,1.854548460664407e-4,TRUE,NA
6,,7,Observations,count,906,906,0,NA,NA,NA,TRUE,NA
6,,7,Countries,count,124,124,0,NA,NA,NA,TRUE,NA
6,,7,First-stage R-squared,r2,0.9548878557902648,0.95,0.00488785579026485,NA,NA,NA,TRUE,NA
6,,8,Log GDP per capita_t-1,coef,-0.19840689687871077,-0.198,4.0689687871076075e-4,0.1600957634432933,0.16,9.576344329328967e-5,TRUE,NA
6,,8,First stage: Trade-weighted log GDP_t-2,coef,0.34120538021385016,0.341,2.0538021385013705e-4,0.09047840701635432,0.09,4.784070163543208e-4,TRUE,NA
6,,8,Observations,count,906,906,0,NA,NA,NA,TRUE,NA
6,,8,Countries,count,124,124,0,NA,NA,NA,TRUE,NA
6,,8,First-stage R-squared,r2,0.9536690488463804,0.95,0.0036690488463804183,NA,NA,NA,TRUE,NA
6,,9,Log GDP per capita_t-1,coef,-0.21732359554548375,-0.217,3.2359554548375136e-4,0.14892684945633872,0.149,7.315054366127671e-5,TRUE,NA
6,,9,First stage: Trade-weighted log GDP_t-1,coef,0.5290238972627412,0.529,2.389726274121262e-5,0.18007640399329822,0.18,7.640399329822412e-5,TRUE,NA
6,,9,First stage: Trade-weighted log GDP_t-2,coef,-0.12728419687961456,-0.127,2.841968796145622e-4,0.20573204925886351,0.206,2.6795074113647455e-4,TRUE,NA
6,,9,Observations,count,906,906,0,NA,NA,NA,TRUE,NA
6,,9,Countries,count,124,124,0,NA,NA,NA,TRUE,NA
6,,9,First-stage R-squared,r2,0.9543543556885729,0.95,0.004354355688572897,NA,NA,NA,TRUE,NA
