table,panel,column,row,type,mine,pub,diff_val,mine_se,pub_se,diff_se,matched,note
7,A (25-year),1,Democracy_t-1,coef,0.4872921121587168,0.487,2.921121587168285e-4,0.08468029682292022,0.085,3.197031770797859e-4,TRUE,NA
7,A (25-year),1,Log GDP per capita_t-1,coef,0.11631864066072124,0.116,3.1864066072123665e-4,0.03355626640168042,0.034,4.437335983195831e-4,TRUE,NA
7,A (25-year),1,Observations,count,150,150,0,NA,NA,NA,TRUE,NA
7,A (25-year),1,Countries,count,25,25,0,NA,NA,NA,TRUE,NA
7,A (25-year),1,R-squared,r2,0.5470475420106387,0.55,0.00295245798936139,NA,NA,NA,TRUE,NA
7,A (25-year),2,Democracy_t-1,coef,0.19229839972678897,0.192,2.983997267889671e-4,0.11919774136550004,0.119,1.9774136550004817e-4,TRUE,NA
7,A (25-year),2,Log GDP per capita_t-1,coef,-0.01968544768841924,-0.02,3.145523115807604e-4,0.09294827952492069,0.093,5.172047507931432e-5,TRUE,NA
7,A (25-year),2,Observations,count,150,150,0,NA,NA,NA,TRUE,NA
7,A (25-year),2,Countries,count,25,25,0,NA,NA,NA,TRUE,NA
7,A (25-year),2,R-squared,r2,0.6477249059315733,0.65,0.0022750940684267418,NA,NA,NA,TRUE,NA
7,A (25-year),3,Democracy_t-1,coef,0.4391255420281297,0.439,1.2554202812969928e-4,0.14317462278567902,0.143,1.74622785679035e-4,TRUE,NA
7,A (25-year),3,Log GDP per capita_t-1,coef,-0.4947687908621621,-0.495,2.3120913783791774e-4,0.2660688178205333,0.266,6.881782053330676e-5,TRUE,NA
7,A (25-year),3,Observations,count,125,125,0,NA,NA,NA,TRUE,NA
7,A (25-year),3,Countries,count,25,25,0,NA,NA,NA,TRUE,NA
7,A (25-year),4,Log GDP per capita_t-1,coef,0.0029763736174681,0.003,2.3626382531899935e-5,0.09204585558698836,0.092,4.585558698835812e-5,TRUE,NA
7,A (25-year),4,Observations,count,150,150,0,NA,NA,NA,TRUE,NA
7,A (25-year),4,Countries,count,25,25,0,NA,NA,NA,TRUE,NA
7,A (25-year),4,R-squared,r2,0.6342579338460094,0.63,0.004257933846009365,NA,NA,NA,TRUE,NA
7,A (25-year),5,Democracy_t-1,coef,0.21150866683101327,0.212,4.91333168986724e-4,0.14035777937853802,0.14,3.57779378538009e-4,TRUE,NA
7,A (25-year),5,Log GDP per capita_t-1,coef,0.07364001303359943,0.074,3.599869664005634e-4,0.1175170274275377,0.118,4.8297257246229797e-4,TRUE,NA
7,A (25-year),5,Observations,count,78,78,0,NA,NA,NA,TRUE,NA
7,A (25-year),5,Countries,count,13,13,0,NA,NA,NA,TRUE,NA
7,A (25-year),5,R-squared,r2,0.7238848517691148,0.72,0.0038848517691147944,NA,NA,NA,TRUE,NA
7,B (50-year),1,Democracy_t-1,coef,0.2326947426926236,0.233,3.0525730737640533e-4,0.07026576027640222,0.07,2.6576027640221045e-4,TRUE,NA
7,B (50-year),1,Log GDP per capita_t-1,coef,0.19093059156348052,0.191,6.940843651948025e-5,0.04287047957281742,0.043,1.2952042718257506e-4,TRUE,NA
7,B (50-year),1,Observations,count,111,111,0,NA,NA,NA,TRUE,NA
7,B (50-year),1,Countries,count,37,37,0,NA,NA,NA,TRUE,NA
7,B (50-year),1,R-squared,r2,0.4866988682419825,0.49,0.003301131758017495,NA,NA,NA,TRUE,NA
7,B (50-year),2,Democracy_t-1,coef,-0.24821936198656191,-0.248,2.1936198656191674e-4,0.12410402073945968,0.124,1.0402073945968426e-4,TRUE,NA
7,B (50-year),2,Log GDP per capita_t-1,coef,0.03890346920070754,0.039,9.6530799292463e-5,0.1100069472032763,0.11,6.9472032763057134e-6,TRUE,NA
7,B (50-year),2,Observations,count,111,111,0,NA,NA,NA,TRUE,NA
7,B (50-year),2,Countries,count,37,37,0,NA,NA,NA,TRUE,NA
7,B (50-year),2,R-squared,r2,0.7186722144830023,0.72,0.0013277855169976371,NA,NA,NA,TRUE,NA
7,B (50-year),3,Democracy_t-1,coef,0.3194162335783831,0.319,4.1623357838310726e-4,0.1481920107209641,0.148,1.920107209641142e-4,TRUE,NA
7,B (50-year),3,Log GDP per capita_t-1,coef,-0.41126433980825006,-0.411,2.643398082500803e-4,0.19445861184882576,0.194,4.5861184882575734e-4,TRUE,NA
7,B (50-year),3,Observations,count,74,74,0,NA,NA,NA,TRUE,NA
7,B (50-year),3,Countries,count,37,37,0,NA,NA,NA,TRUE,NA
7,B (50-year),4,Log GDP per capita_t-1,coef,-0.00357968668625323,-0.004,4.2031331374677017e-4,0.0915607734860337,0.092,4.3922651396630097e-4,TRUE,NA
7,B (50-year),4,Observations,count,111,111,0,NA,NA,NA,TRUE,NA
7,B (50-year),4,Countries,count,37,37,0,NA,NA,NA,TRUE,NA
7,B (50-year),4,R-squared,r2,0.70091391893583,0.7,9.139189358300381e-4,NA,NA,NA,TRUE,NA
7,B (50-year),5,Democracy_t-1,coef,-0.2658892669077578,-0.266,1.1073309224218786e-4,0.18775242448166912,0.188,2.475755183308781e-4,TRUE,NA
7,B (50-year),5,Log GDP per capita_t-1,coef,0.02771909513432384,0.028,2.809048656761612e-4,0.22200813310740597,0.222,8.133107405966511e-6,TRUE,NA
7,B (50-year),5,Observations,count,48,48,0,NA,NA,NA,TRUE,NA
7,B (50-year),5,Countries,count,16,16,0,NA,NA,NA,TRUE,NA
7,B (50-year),5,R-squared,r2,0.6852468330483037,0.69,0.004753166951696253,NA,NA,NA,TRUE,NA
