table,cells,failures,max_diff
2,41,0,0.0048505081875414024
3,41,0,0.03587459354873884
4,42,0,0.004545492739763901
5,46,0,0.0036749180855354113
6,44,0,0.00488785579026485
7,46,0,0.004753166951696253
