spec,panel,countries,obs,f_dem,f_inc,cragg_donald,stock_yogo,est,se
Table 2 col 3,Freedom House,127,838,34.85506571443289,10.875179914177249,12.680562018345684,7.03,-0.10357926859239493,0.10741790584878477
Table 3 col 3,Polity,114,747,26.265422286535312,9.388270390442187,10.990977416909832,7.03,-0.41258131256366126,0.16287459354873884
