panel,design,scheme,scheme_label,lag_max,income,income_se,dem,n_inst,obs,countries
Freedom House,Symmetric (lags of democracy and income),none,One per lag and period (uncollapsed),7,-0.08296772954064369,0.08407859990702704,0.48296797555659654,87,838,127
Freedom House,Symmetric (lags of democracy and income),none,One per lag and period (uncollapsed),8,-0.09219176585287281,0.08191109778689798,0.46590089326660034,93,838,127
Freedom House,Symmetric (lags of democracy and income),none,One per lag and period (uncollapsed),Inf,-0.06613264716339584,0.06864685985964965,0.4677593741024791,99,838,127
Freedom House,Symmetric (lags of democracy and income),lag,One per lag distance (Roodman),2,-0.10357926859236688,0.10635309165824819,0.4686592975601688,11,838,127
Freedom House,Symmetric (lags of democracy and income),lag,One per lag distance (Roodman),3,-0.1101556570163833,0.10521665284425143,0.480809476394775,13,838,127
Freedom House,Symmetric (lags of democracy and income),lag,One per lag distance (Roodman),4,-0.1057927478209928,0.10349093774669851,0.48060765612806133,15,838,127
Freedom House,Symmetric (lags of democracy and income),lag,One per lag distance (Roodman),5,-0.09797669417839039,0.10373227829185111,0.48094621386413383,17,838,127
Freedom House,Symmetric (lags of democracy and income),lag,One per lag distance (Roodman),6,-0.08589845942771035,0.09877572237859948,0.4809564243064992,19,838,127
Freedom House,Symmetric (lags of democracy and income),lag,One per lag distance (Roodman),7,-0.11084858290326327,0.10021650025649947,0.47065957798355285,21,838,127
Freedom House,Symmetric (lags of democracy and income),lag,One per lag distance (Roodman),8,-0.11748862170706076,0.10078548267197016,0.46777400182293094,23,838,127
Freedom House,Symmetric (lags of democracy and income),lag,One per lag distance (Roodman),Inf,-0.16925907633571358,0.1072934702211292,0.45058572205606706,27,838,127
Freedom House,Symmetric (lags of democracy and income),period,"One per period, summed",2,-0.20187241549398305,0.1244772824590679,0.43042739384492,27,838,127
Freedom House,Symmetric (lags of democracy and income),period,"One per period, summed",3,-0.41503729574584103,0.19665086167738924,0.34954185500879875,27,838,127
Freedom House,Symmetric (lags of democracy and income),period,"One per period, summed",4,-0.36130024842765707,0.18474987372420615,0.34242414616153205,27,838,127
Freedom House,Symmetric (lags of democracy and income),period,"One per period, summed",5,-0.16026346808083503,0.16874871083355814,0.5231122768385852,27,838,127
Freedom House,Symmetric (lags of democracy and income),period,"One per period, summed",6,-0.20286624706244538,0.16290663358964658,0.4552143073149848,27,838,127
Freedom House,Symmetric (lags of democracy and income),period,"One per period, summed",7,-0.20438014644530966,0.15950306114896914,0.45528145096549233,27,838,127
Freedom House,Symmetric (lags of democracy and income),period,"One per period, summed",8,-0.16780275521187704,0.16112362483849546,0.42331825136402035,27,838,127
Freedom House,Symmetric (lags of democracy and income),period,"One per period, summed",Inf,-0.1638082447793261,0.15699835079207952,0.4236699958797945,27,838,127
Freedom House,Symmetric (lags of democracy and income),period_mean,"One per period, averaged",2,-0.20187241549398305,0.1244772824590679,0.43042739384492,27,838,127
Freedom House,Symmetric (lags of democracy and income),period_mean,"One per period, averaged",3,-0.29499558958569017,0.13029132614144417,0.4518318520745489,27,838,127
Freedom House,Symmetric (lags of democracy and income),period_mean,"One per period, averaged",4,-0.3165935409340066,0.13697123966081398,0.46223288449287625,27,838,127
Freedom House,Symmetric (lags of democracy and income),period_mean,"One per period, averaged",5,-0.357719927726444,0.14126103751591615,0.49109623685645654,27,838,127
Freedom House,Symmetric (lags of democracy and income),period_mean,"One per period, averaged",6,-0.3386283054897725,0.14651855475802986,0.4888719702162445,27,838,127
Freedom House,Symmetric (lags of democracy and income),period_mean,"One per period, averaged",7,-0.3403485772856709,0.1507162648915955,0.4897678720089993,27,838,127
Freedom House,Symmetric (lags of democracy and income),period_mean,"One per period, averaged",8,-0.3427573067148266,0.15170593069034155,0.4909601733739586,27,838,127
Freedom House,Symmetric (lags of democracy and income),period_mean,"One per period, averaged",Inf,-0.3438776491505431,0.15102032965484655,0.4949191485913551,27,838,127
Freedom House,Symmetric (lags of democracy and income),full,One instrument in total,2,-0.10357926859236688,0.10635309165824819,0.4686592975601688,11,838,127
Freedom House,Symmetric (lags of democracy and income),full,One instrument in total,3,-0.09877013658071832,0.2661270884986894,0.5088988170335433,11,838,127
Freedom House,Symmetric (lags of democracy and income),full,One instrument in total,4,-0.2043115982819721,0.26878234334303075,0.4447621833861106,11,838,127
Freedom House,Symmetric (lags of democracy and income),full,One instrument in total,5,-0.43857493751859167,0.3656280698883232,0.2958388034259265,11,838,127
Freedom House,Symmetric (lags of democracy and income),full,One instrument in total,6,-0.6188722720448041,0.5965221915059246,0.11194950440472695,11,838,127
Freedom House,Symmetric (lags of democracy and income),full,One instrument in total,7,-0.4915124396003563,0.7516314662100972,0.19521868096198602,11,838,127
Freedom House,Symmetric (lags of democracy and income),full,One instrument in total,8,-0.9078872224490055,1.252812437388379,-0.2121886170268823,11,838,127
Freedom House,Symmetric (lags of democracy and income),full,One instrument in total,Inf,-0.7614771617675729,1.6118125734970115,-0.09448808073943837,11,838,127
Polity,Paper's design (lags of democracy only),none,One per lag and period (uncollapsed),2,-0.5466521414476722,0.1780450181710198,0.5558650940843488,19,747,114
Polity,Paper's design (lags of democracy only),none,One per lag and period (uncollapsed),3,-0.5809134929143163,0.16697167705168786,0.5515229140985429,27,747,114
Polity,Paper's design (lags of democracy only),none,One per lag and period (uncollapsed),4,-0.5777168961461232,0.16964476513464471,0.5305384249911658,34,747,114
Polity,Paper's design (lags of democracy only),none,One per lag and period (uncollapsed),5,-0.6014776881777242,0.17383831992867416,0.5312715562860268,40,747,114
Polity,Paper's design (lags of democracy only),none,One per lag and period (uncollapsed),6,-0.49098840896082185,0.15685741260706393,0.5418993348721186,45,747,114
Polity,Paper's design (lags of democracy only),none,One per lag and period (uncollapsed),7,-0.3694402201207043,0.13668958025407507,0.5832343561552246,49,747,114
Polity,Paper's design (lags of democracy only),none,One per lag and period (uncollapsed),8,-0.3566069061023853,0.1324836628479546,0.5875394177103662,52,747,114
Polity,Paper's design (lags of democracy only),none,One per lag and period (uncollapsed),Inf,-0.35056387752400164,0.12722323171799338,0.5897910230548581,55,747,114
Polity,Paper's design (lags of democracy only),lag,One per lag distance (Roodman),2,-0.41258131256376007,0.1610681366375454,0.5817886745677583,11,747,114
Polity,Paper's design (lags of democracy only),lag,One per lag distance (Roodman),3,-0.4132530158881389,0.15954515033515018,0.5824522443219837,12,747,114
Polity,Paper's design (lags of democracy only),lag,One per lag distance (Roodman),4,-0.41353488616944745,0.16004142490719542,0.5836276926402317,13,747,114
Polity,Paper's design (lags of democracy only),lag,One per lag distance (Roodman),5,-0.42045404745342285,0.16357866798926268,0.5829791791086387,14,747,114
Polity,Paper's design (lags of democracy only),lag,One per lag distance (Roodman),6,-0.4293264436368238,0.16492735066338482,0.583480827851083,15,747,114
Polity,Paper's design (lags of democracy only),lag,One per lag distance (Roodman),7,-0.4229337880786366,0.16229666577262286,0.5835072041026952,16,747,114
Polity,Paper's design (lags of democracy only),lag,One per lag distance (Roodman),8,-0.408630686667693,0.16152896693054558,0.5853457448196333,17,747,114
Polity,Paper's design (lags of democracy only),lag,One per lag distance (Roodman),Inf,-0.5123273814850702,0.173417259578702,0.5531883303650083,19,747,114
Polity,Paper's design (lags of democracy only),period,"One per period, summed",2,-0.5466521414476722,0.1780450181710198,0.5558650940843488,19,747,114
Polity,Paper's design (lags of democracy only),period,"One per period, summed",3,-0.5754804885538451,0.1785166484950512,0.566581005950809,19,747,114
Polity,Paper's design (lags of democracy only),period,"One per period, summed",4,-0.5803470701806228,0.17825187630321798,0.5757222427190032,19,747,114
Polity,Paper's design (lags of democracy only),period,"One per period, summed",5,-0.5624990512948349,0.174673870596344,0.5947864748417482,19,747,114
Polity,Paper's design (lags of democracy only),period,"One per period, summed",6,-0.5502725819445935,0.17566389620368383,0.627153278635483,19,747,114
Polity,Paper's design (lags of democracy only),period,"One per period, summed",7,-0.5465141988332904,0.17379124601332172,0.5981400203361225,19,747,114
Polity,Paper's design (lags of democracy only),period,"One per period, summed",8,-0.5477368644588374,0.17244459930604375,0.6095052464184838,19,747,114
Polity,Paper's design (lags of democracy only),period,"One per period, summed",Inf,-0.5533186886827854,0.17524246100145682,0.6242225791850511,19,747,114
Polity,Paper's design (lags of democracy only),period_mean,"One per period, averaged",2,-0.5466521414476722,0.1780450181710198,0.5558650940843488,19,747,114
Polity,Paper's design (lags of democracy only),period_mean,"One per period, averaged",3,-0.5792116097693931,0.1834998481609613,0.5682240594478634,19,747,114
Polity,Paper's design (lags of democracy only),period_mean,"One per period, averaged",4,-0.5899130869638674,0.18156735816256997,0.5276319820859428,19,747,114
Polity,Paper's design (lags of democracy only),period_mean,"One per period, averaged",5,-0.5589027364582835,0.1745108073630762,0.5163243359403857,19,747,114
Polity,Paper's design (lags of democracy only),period_mean,"One per period, averaged",6,-0.545369038635056,0.17170762768543454,0.5321971947985285,19,747,114
Polity,Paper's design (lags of democracy only),period_mean,"One per period, averaged",7,-0.5497924950142075,0.17168100356782315,0.542313816178499,19,747,114
Polity,Paper's design (lags of democracy only),period_mean,"One per period, averaged",8,-0.5470018107317189,0.16846333950966402,0.550367164696639,19,747,114
Polity,Paper's design (lags of democracy only),period_mean,"One per period, averaged",Inf,-0.5537178579985342,0.169588954279181,0.5488004516346274,19,747,114
Polity,Paper's design (lags of democracy only),full,One instrument in total,2,-0.41258131256376007,0.1610681366375454,0.5817886745677583,11,747,114
